RANK,TITLE,RATING,YEAR,GENRE,DESCRIPTION,ACTORS,DURATION,BOXOFFICE
8.1,Platoon ,8.1,War,Drama,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,"Charlie Sheen,Tom Berenger,Willem Dafoe",2h,"
            $6,000,000
            
        "
8.2,Sunrise ,8.2,Romance,Drama,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,"George O'Brien,Janet Gaynor,Margaret Livingston",1h 34min,"
  Show more on
   »
  "
8.1,Stalker ,8.1,Sci-Fi,Drama,A guide leads two men through an area known as the Zone to find a room that grants wishes.,"Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn",2h 42min,"
             $20,540,
, 
        "
8.1,Gone Girl ,8.1,Mystery,Drama,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Ben Affleck,Rosamund Pike,Neil Patrick Harris",2h 29min,"
            $61,000,000
            
        "
8.1,The Truman Show ,8.1,Drama,Comedy,An insurance salesman discovers his whole life is actually a reality TV show.,"Jim Carrey,Ed Harris,Laura Linney",1h 43min,"
            $60,000,000
            
        "
8.1,Wild Tales ,8.1,Drama,Comedy,Six short stories that explore the extremities of human behavior involving people in distress.,"Darío Grandinetti,María Marull,Mónica Villa",2h 2min,"
            $3,300,000
            
        "
8.1,The Grand Budapest Hotel ,8.1,Comedy,Adventure,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.","Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",1h 39min,"
            $25,000,000
            
        "
8.1,Jurassic Park ,8.1,Sci-Fi,Adventure,"During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.","Sam Neill,Laura Dern,Jeff Goldblum",2h 7min,"
            $63,000,000
            
        "
8.1,How to Train Your Dragon ,8.1,Action,Animation,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",1h 38min,"
             $43,732,319,
, 
        "
8.1,Stand by Me ,8.1,Drama,Adventure,"After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.","Wil Wheaton,River Phoenix,Corey Feldman",1h 29min,"
            $8,000,000
            
        "
8.1,Mary and Max ,8.1,Comedy,Animation,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","Toni Collette,Philip Seymour Hoffman,Eric Bana",1h 32min,"
            AUD 8,240,000
            
        "
8.1,Cool Hand Luke ,8.1,Drama,Crime,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Paul Newman,George Kennedy,Strother Martin",2h 7min,"
 $16,217,773
        "
8.2,Sherlock Jr. ,8.2,Comedy,Action,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Buster Keaton,Kathryn McGuire,Joe Keaton",45min,"
    
      
    "
8.1,Kill Bill: Vol. 1 ,8.1,Crime,Action,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Uma Thurman,David Carradine,Daryl Hannah",1h 51min,"
            $30,000,000
            
        "
8.1,Hacksaw Ridge ,8.1,Drama,Biography,World War II American Army Medic,"Andrew Garfield,Sam Worthington,Luke Bracey",2h 19min,"
            $40,000,000
            
        "
8.1,The Big Lebowski ,8.1,Crime,Comedy,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Jeff Bridges,John Goodman,Julianne Moore",1h 57min,"
             $5,533,844,
, 
        "
8.2,Tokyo Story ,8.2,"13 March 1972 (USA)
",Drama,An old couple visit their children and grandchildren in the city; but the children have little time for them.,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura",2h 16min,"
  Show more on
   »
  "
8.1,Gran Torino ,8.1,"9 January 2009 (USA)
",Drama,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.","Clint Eastwood,Bee Vang,Christopher Carley",1h 56min,"
            $33,000,000
            
        "
8.2,Come and See ,8.2,War,Drama,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",2h 22min,"
  Show more on
   »
  "
8.1,Shutter Island ,8.1,Thriller,Mystery,"In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.","Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo",2h 18min,"
             $41,062,440,
, 
        "
8.1,Finding Nemo ,8.1,Adventure,Animation,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Albert Brooks,Ellen DeGeneres,Alexander Gould",1h 40min,"
            $94,000,000
            
        "
8.1,Rebecca ,8.1,Mystery,Drama,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Laurence Olivier,Joan Fontaine,George Sanders",2h 10min,"
 $4,360,000
        "
8.1,The Deer Hunter ,8.1,War,Drama,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,"Robert De Niro,Christopher Walken,John Cazale",3h 3min,"
 $48,979,328, 
        "
8.5,Andhadhun ,8.5,Thriller,Crime,A series of mysterious events change the life of a blind pianist who now must report a crime that was actually never witnessed by him.,"Ayushmann Khurrana,Tabu,Radhika Apte",2h 19min,"
            $4,500,000
            
        "
8.1,The Thing ,8.1,Mystery,Horror,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Kurt Russell,Wilford Brimley,Keith David",1h 49min,"
             $3,107,897,
, 
        "
8.2,Gone with the Wind ,8.2,History,Drama,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"Clark Gable,Vivien Leigh,Thomas Mitchell",3h 58min,"
            $3,977,000
            
        "
8.2,Trainspotting ,8.2,"9 August 1996 (USA)
",Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.","Ewan McGregor,Ewen Bremner,Jonny Lee Miller",1h 33min,"
            $3,500,000
            
        "
8.2,The General ,8.2,Adventure,Action,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","Buster Keaton,Marion Mack,Glen Cavender",1h 7min,"
    
,      
    "
8.3,Lawrence of Arabia ,8.3,Biography,Adventure,The story of,"Peter O'Toole,Alec Guinness,Anthony Quinn",3h 36min,"
            $15,000,000
            
        "
8.1,No Country for Old Men ,8.1,Drama,Crime,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Tommy Lee Jones,Javier Bardem,Josh Brolin",2h 2min,"
            $25,000,000
            
        "
8.1,Fargo ,8.1,Drama,Crime,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"William H. Macy,Frances McDormand,Steve Buscemi",1h 38min,"
            $7,000,000
            
        "
8.1,The Sixth Sense ,8.1,Mystery,Drama,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,"Bruce Willis,Haley Joel Osment,Toni Collette",1h 47min,"
             $26,681,262,
, 
        "
8.2,Wild Strawberries ,8.2,Romance,Drama,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Victor Sjöström,Bibi Andersson,Ingrid Thulin",1h 31min,"
  Show more on
   »
  "
8.2,Dial M for Murder ,8.2,Thriller,Crime,A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.,"Ray Milland,Grace Kelly,Robert Cummings",1h 45min,"
             $12,562,
, 
        "
8.2,Blade Runner ,8.2,Thriller,Sci-Fi,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","Harrison Ford,Rutger Hauer,Sean Young",1h 57min,"
            $28,000,000
            
        "
8.2,There Will Be Blood ,8.2,"25 January 2008 (USA)
",Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","Daniel Day-Lewis,Paul Dano,Ciarán Hinds",2h 38min,"
            $25,000,000
            
        "
